"age","male","risk","partners"
1,0,1,0.00056
1,1,1,0.00056
2,0,1,0.00672
2,1,1,0.00672
3,0,1,0.080860919272
3,1,1,0.032536463624
4,0,1,0.292
4,1,1,0.0681333333333333
5,0,1,0.759030064604651
5,1,1,0.389867845605
6,0,1,0.7837621428
6,1,1,1.097599024984
7,0,1,0.515319207465359
7,1,1,1.21756796245333
8,0,1,0.326973986830179
8,1,1,1.04258342661926
9,0,1,0.180431922186353
9,1,1,0.833029384912941
10,0,1,0.0873174462172444
10,1,1,0.611484458069333
11,0,1,0.0427912957589744
11,1,1,0.4207175919905
12,0,1,0.030394723576
12,1,1,0.306108696544
1,0,2,0.00056
1,1,2,0.00056
2,0,2,0.0672
2,1,2,0.0672
3,0,2,0.80860919272
3,1,2,0.32536463624
4,0,2,4.38
4,1,2,1.752
5,0,2,6.07224051683721
5,1,2,4.4556325212
6,0,2,8.440515384
6,1,2,8.08757176304
7,0,2,5.01391661317647
7,1,2,8.85503972693333
8,0,2,3.31579254250323
8,1,2,7.81937569964444
9,0,2,1.64029020169412
9,1,2,5.55352923275294
10,0,2,0.935544066613333
10,1,2,3.05742229034667
11,0,2,0.513495549107692
11,1,2,2.47480936465
12,0,2,0.15197361788
12,1,2,1.31189441376
1,0,3,0.00056
1,1,3,0.00056
2,0,3,0.672
2,1,3,0.672
3,0,3,8.0860919272
3,1,3,3.2536463624
4,0,3,81.76
4,1,3,40.88
5,0,3,130.553171112
5,1,3,89.112650424
6,0,3,120.5787912
6,1,3,115.536739472
7,0,3,85.236582424
7,1,3,116.222396416
8,0,3,51.3947844088
8,1,3,100.534830424
9,0,3,27.8849334288
9,1,3,78.674997464
10,0,3,14.0331609992
10,1,3,57.326667944
11,0,3,6.6754421384
11,1,3,39.5969498344
12,0,3,3.0394723576
12,1,3,26.2378882752
